coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
El Salvador Montenegro,El Salvador,"Cocoa and caramel aroma. Blazing acidity, dark chocolate and caramel, regal balance. A nicely conducted, relatively light roast makes this balanced but assertive coffee particularly well-suited for vacuum pot and drip brewing.",,,others,medium,Zoka Coffee Roasters,
Nicaragua Los Vasques, Nicaragua,Crisply acidy but big-bodied and lavishly chocolate-toned. Vanilla bean complicates the chocolate in the finish. A tactful match of roast to coffee.,"Madriz growing region,",,others,medium,Stone Cup Roasting,
Nicaragua Los Vasques, Nicaragua,"Huge body, luscious Belgian chocolate flavor with plenty of supporting acidity. Vanilla bean along with the chocolate in the finish. Roast is perfectly matched to the coffee.","Madriz growing region,",,others,medium,Stumptown Coffee Roasters,
El Salvador Santa Sofia,El Salvador,"Mouth watering dark chocolate laced with butter caramel and black cherry, subtler flavors of cigar leaf and mace. Razor sharp acidity.  Extraordinary concentration, vigor and balance. Exceptionally skillful, tender roast that lets the coffee shine.",,,others,medium,Rocket Coffee Roasters,
Nicaragua El Progresso COE Lot #1, Nicaragua.,"Cocoa and dark chocolate aroma, vigorous flavors of dark chocolate laced with cherry, medium-full body, intense, focused acidity, great purity. Ideally roasted.","Nueva Segovia growing region,",,others,medium,Torreo Coffee Roasters,
Panama Esmeralda Especial, western Panama,Spectacularly aromatic in both dry and infused aroma,"Boquete growing region,",,others,medium,Stumptown Coffee Roasters,
El Salvador Pacamara Los Planes,El Salvador,"Cocoa laced with citrus in the aroma. Flavors are as complex and sculpted as a top Alsatian Riesling, with intense lemon and orange acidity, chocolate, and a suggestion of fresh chive or tarragon always associated with this variety.  A powerful, aristocratic grand cru. This fragile, low-density variety is a major challenge to roast (and cannot handle dark roasting); this is a particularly masterful roasting job.",,,others,medium,Intelligentsia Coffee,
El Salvador Los Planes Pacamara,El Salvador,"Chocolate and citrus on the break. Regal acidity, complex flavors of chocolate, citrus and herbs. A powerful, intense and demanding cup. Haunting, persistent finish. Perfect roast of this especially challenging bean. What great coffee is all about.",,,others,medium,Torreo Coffee Roasters,
Organic Nicaragua Jinotega, north-central Nicaragua,"Deep, sweetly pungent aroma","Jinotega growing region,",,others,medium,California Coffee Roasters,
100 Percent Kona, Big Island of Hawaii,"Sweetly pungent aroma with hints of chocolate, cedar, low-acid fruit, pear perhaps. In the cup medium-bodied but silky in mouthfeel, with great sweetness, a roast-muted tartness, elegant floral notes and coffee fruit turned toward cocoa under the influence of the roast. Rich, sweet and cocoa-toned in the short finish, rather astringent in the long.","North Kona growing district,",,others,medium,J. Tudor Estate,
Sulawesi Toraja, Indonesia,"Intense, gently pungent aroma with great, low-toned complexity","Toraja growing region, southwestern Sulawesi,",,others,medium,California Coffee Roasters,
Panama Lot 13 Special Reserve, western Panama,"Delicate, lyrically sweet-toned aroma with flowers, flowering grass and a lush shimmer of molasses. In the cup delicate but intense, with sweetly tart, white-wine-toned acidity, light-bodied but silky mouthfeel, and continued fresh, aromatic grass notes. Surprisingly rich in the short finish with a shadow of grassy astringency in the long.","Boquete growing region,",,others,medium,Green Mountain Coffee,
Holiday Blend,not disclosed,"Very sweet-toned aroma with a round, banana-like fruit and hints of fresh-cut cedar, flowers, and sweet spice. Remains sweet in the cup with a sort of banana-bread molasses-and-fruit character, but the roast impact is lean and a touch bitterish. Rich short finish, slightly heavy long.",,,others,medium,Mocha Joe's Specialty Coffee Roasters,
Holiday Blend,not disclosed,"Rather muted, mildly sweet, gingerbready aroma. Plumps up nicely in the cup, however",,,others,medium,Orleans Coffee Exchange,
Holiday Blend,not disclosed,"Sweetly smoky, fruity aroma. In the cup light to medium body with a silky mouthfeel and quiet balance between a gentle acidity and a discreetly roast (cedar and toast) character. A hint of dark chocolate in the cup and butterscotch in the simple but rich finish.",,,others,medium,Willoughby's Coffee & Tea,
Holiday Blend 2006,not disclosed,"Sweet-toned, gently roasty aroma with distinct grapefruit notes and the barest hints of cedar and chocolate. In the cup the roast tones are sharper but still sweet, reading even more clearly as a richly pungent grapefruit with a slight chocolate cast. Deep finish with almost no astringency. A slight unevenness from cup to cup brought down the rating of this fundamentally distinguished dark-roasted coffee.",,,others,dark,Quartermaine Coffee Roasters,
Original Christmas,not disclosed,An exhilarating and intense blueberry and wine character dominates the profile from aroma to finish. In the aroma the blueberry and wine tones are particularly pure and sweet. In the cup things grow more complicated,,,others,medium,Klatch Coffee,
Kenya Karindundu Nyeri, south-central Kenya,"An intense coffee dominated from aroma through finish by a rich, tartly sweet acidity and high-toned lemon and dry berry notes. The finish, like the entire profile, is as deeply sweet as it is uncompromisingly dry.","Nyeri growing region,",,others,medium,Terroir Coffee,
Ethiopia Kaffa Forest, southwestern Ethiopia,Very complete aroma,"Kefa (Kaffa) Province,",,others,medium,Paradise Roasters,
Anniversary Blend,not disclosed,"A quietly exotic, complex blend of impressive originality. Smoothly midtoned, gently pungent aroma. In the cup displays lively, almost peppery acidity and full body with some tingle in the mouthfeel. Lyrically and richly sweet, with a wine-like, black grapey hint of ferment and a slight musty-malty edge. A surprising shimmer of flowers in the long finish.",,,others,medium,Barefoot Coffee Roasters,
Kenya Mamuto Kirinyaga, Central Kenya,"Vividly lively yet elegantly smooth coffee. Intense aroma with tart cherry and round, low-acid fruit notes, banana perhaps, with hints of fresh leather. In the cup sweet, lyric acidity, light but silky mouthfeel, cherry and cocoa notes. Rich, sweet, deeply long finish.","Kirinyaga growing district,",,others,medium,Terroir Coffee,
Idee Kaffee Classic,not disclosed,"In the aroma sweet-toned, gently rich, with distinct cocoa, or perhaps carob, tones and hints of fresh-cut wood and vanilla. In the cup quite heavy in body. Bittersweet with continued low-key notes that read as a spicy, vegetal chocolate (cocoa or carob) with vanilla and floral top notes. The cocoa/carob notes persist in the long, sweetly pleasant finish. Very slight astringency.",,,others,dark,J.J. Darboven,
Autumn Harvest Blend Organic Fair Trade,not disclosed,"Sweet-toned, deep aroma with a tight-knit complexity",,,others,medium,Green Mountain Coffee,
Organic Espresso Blend Fair Trade,not disclosed,(Tested as roasted - rather dark - by the Swiss Water Decaffeinated Coffee.) Complex aroma,,,others,dark,Swiss Water Decaffeinated Coffee Company,
SWISS WATER House Blend,not disclosed,"(Tested as roasted - rather dark - by Swiss Water Decaffeinated Coffee Company.) Very sweet-toned, gently roasty aroma, with peach-toned cedar and semi-sweet chocolate notes. Simplifies in the cup, but remains delicately sweet and balanced with continuing dry chocolate complication. Gently rich finish with the barest hint of astringency as the cup cools.",,,others,dark,Swiss Water Decaffeinated Coffee Company,
Belo Espresso, Brazil.,Sweet-toned aroma but rather quiet,"Ribeirao do Pinhal region, State of Parana,",,others,medium,Ferroni Brothers,
Classico Italian Roast, Brazil,"A mid-toned, gently crisp coffee. Rich aroma with semi-sweet chocolate, raisin, walnut, perhaps orange complication. In the cup, full though slightly rough body with a continued dry, semi-sweet chocolate character and hints of walnut and orangy raisin. Rich, simple, slightly heavy finish.","Ribeirao do Pinhal region, State of Parana,",,others,medium,Ferroni Brothers,
Marques de Paiva Gourmet Fair Trade Espresso Roast,South-Central Brazil,"Fine, delicate aroma",,,others,medium,Bom Dia Cafe,
Big Truck,not disclosed,"Very sweet-toned aroma with spice (nutmeg?) and toast notes. In the small cup full bodied and slightly rough in mouthfeel, bittersweet with toast, cedar and chocolate hints. Rich, heavy finish. Simple, powerfully rich presence in milk with chocolate and distinct banana notes.",,,others,medium,Olympia Coffee Roasting,
Espresso Flores Milan,not disclosed,"Smoke and toast in the aroma, with a hint of flowers. In the small cup medium-bodied and smooth in mouthfeel, balanced, rich, simple, with hints of cedar, dark chocolate and toast. Sweet finish. In milk lean-bodied but lush, dominated by a smoky semi-sweet chocolate.",,,others,dark,Alaska Coffee Roasting Company,
Demitasse Espresso,not disclosed,"Sweet-toned, roundly balanced aroma with overlapping hints of apricot, cedar and milk chocolate. Medium-bodied in the small cup, crisp, almost sharp, with continued suggestions of apricot, cedar and milk chocolate. At its best in milk, which softens the sharpness without dampening authority, allowing the fruit and chocolate to bloom with gently luxury?",,,others,medium,Lasaters Coffee & Tea,
Ethiopian Hache, southern Ethiopia,"Sweet, lyric fruit in the aroma","Sidamo Province,",,others,medium,Klatch Coffee,
Hair Bender Espresso,not disclosed,"Smoke, toast and a hint of flowers in the aroma. In the small cup medium-bodied and smooth in mouthfeel, balanced, rich, simple, with hints of cedar, dark chocolate and toast. Sweet finish. In milk lean-bodied but lush, dominated by a smoky semi-sweet chocolate.",,,others,medium,Stumptown Coffee Roasters,
Super Tuscan Espresso,not disclosed,Superbly and naturally sweet espresso. Complex in the aroma,,,others,medium,The Roasterie,
Espresso,not disclosed,"A big, muscular espresso. Smoky, sweet-toned aroma with hints of apricot-toned chocolate. The massive body and syrupy if slightly astringent mouthfeel tend to overwhelm the chocolaty fruit in demitasse and finish, but all turns out well in milk, where the body remains fat and the chocolate blooms deeply and darkly.",,,others,dark,Reading Coffee Roasters,
90 Mile Stretch Espresso,not disclosed,"Very sweet-toned aroma with floral hints. In the small cup medium-bodied and slightly lean in mouthfeel, crisp, cedary, with raisiny, licorice-toned fruit. Slightly heavy finish but excellent flavor persistence, with the fruit turning toward chocolate. Comes into its own in milk, where it is balanced and roundly rich, with deep semi-sweet chocolate character.",,,others,medium,Island Joe's Coffee,
Private Reserve Espresso,not disclosed,"Suave, cedar- and chocolate-toned aroma with floral top notes. In the small cup medium-bodied, rich, and very smoothly and sweetly cedar-toned. The chocolate and flowers return to complicate the cedar in the long, round finish. In milk rather lean in mouthfeel but expansively chocolaty with a continued suggestion of flowers.",,,others,dark,Caffe Artigiano,
Yirgacheffe Single-Origin Espresso, southern Ethiopia.,A delicate but intense lemony chocolate dominates from aroma through demitasse to milk. The lemon-toned chocolate is lavish and sweet in the aroma; in the small cup tartly sweet; in finish pleasantly persistent despite a slight astringency. In milk the lemon mutes while the chocolate rounds out lushly.,"Yirgacheffe growing region,",,others,medium,Terroir Coffee,
Dolce Terra Organic Espresso,not disclosed,"Straightforward aroma with caramel and apricot-toned fruit. In the small cup syrupy and round, with a gentle fruit-toned cedar character and a mild musty-malty edge. Rich finish with a slight astringency. Very impressive in milk",,,others,medium,The Supreme Bean,
